label,centroid
0,[90, 60, 120, 90, 15, 30, 45, 105, 90, 105, 120, 120, 105, 90, 165, 45, 120, 90, 90, 90, 90, 75, 75, 90, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
1,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 120, 135, 90, 90, 90, -1, 75, 45, 45, 90, 75, 105, 105, 45, 75, 75, 15, 15]
2,[-1, -1, -1, -1, -1, -1, -1, -1, 105, 90, 90, 120, 90, 75, 60, 60, 90, 90, 75, 120, 90, 90, 75, 75, -1, -1, 75, -1, -1, -1, -1, -1, -1, -1, 90, 90, -1, -1, -1, -1, 30, 150, 30, -1, -1, 150, -1, -1, -1, 15, 30, 120, 165, 150, 165, -1, -1, 0, 0, 0, 15, 0, 45, -1]
3,[90, 60, 120, 90, 165, 75, 120, 120, 90, 90, 90, 90, 90, 90, 0, 150, 90, 90, 90, 90, 90, 90, 90, 75, 90, 90, 90, 90, 90, 90, 90, 90, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 75, 75, 60, 90, 90, 90, 90]
4,[165, -1, 75, 165, 165, 165, 165, 135, 15, -1, 60, 165, 165, 15, 0, 15, 60, -1, -1, 165, 165, 0, 0, 15, -1, -1, -1, -1, 0, 60, 15, 15, -1, -1, -1, 15, 0, 0, 15, 15, -1, -1, -1, -1, 165, 0, 15, 15, -1, -1, -1, -1, -1, 0, 30, 0, -1, -1, -1, -1, -1, 0, 0, 0]
5,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 105, 90, 90, 90, 90, 90, 90, 75, -1, 45, 60, 60, 75, 75, 75, 75, 60, 60, 60, 60, 60, 60, 45, 60, 45, 45, 45, 45, 45, 60, 45, -1, 60, 45, 30, 45, 45, -1, -1, -1]
6,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 105, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 75, 75, 90, 105, 90, 105, 90, 60]
7,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 120, -1, 105, 120, -1, 45, 45, 45, 60, 60, 105, 120, 120, 45, 60, 45, 60, 45, 90, 90, 90, 90, 90, 90, 105, 105, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
8,[90, -1, -1, -1, -1, -1, 0, -1, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 105, 90, 90, 90, 90, 90, 90, 90, 105, 90, 90, 90, 90, 90, 90, 90, 105, 90, 90, 90, 90, 90, 90, 90, 90, 105, 105, 105, 90, 90, 90, 105, 90, 90, 90, 90, 90, 90, 90, 90, 105, -1]
9,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 75, 60, 90, 90, 90, 90, 90, 90, 105, 90, 90, 105, 90, 75, 90, 75, 60, 90, 105, 90, 90]
10,[90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, -1, -1, -1, -1, 90, 75, -1, -1, -1, -1, -1, 75, 75, 105, -1, -1, -1, -1, 60, 15, 75, 60, -1, -1, -1, -1, -1, 15, 30, 75, -1, -1, -1, -1, -1, 45, 30, -1, -1, -1]
11,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 75, 90, 90, 105, 105, 105, 90, 75, 105, 90, 75, 105, 90, 90, 105, 90, 90, 90, -1, -1, -1, -1, 105, 105, 90, 90, -1, -1, -1, -1, 60, 105, -1, -1]
12,[135, 150, 0, 105, 15, 15, 45, 75, 60, 135, 150, 60, 75, 30, 60, 60, -1, 150, 135, 90, 90, 60, 90, 105, -1, -1, 135, 135, 45, 30, -1, -1, -1, -1, -1, 150, -1, -1, -1, -1, 120, 120, 60, 90, 90, 75, 60, 105, 90, 90, 105, 90, 90, 90, 90, 90, -1, -1, -1, -1, -1, -1, -1, -1]
13,[-1, -1, 75, 75, 90, 105, -1, -1, -1, 30, 45, 75, 105, 135, 135, -1, 15, 30, 30, -1, -1, 150, 150, 165, 15, 15, -1, -1, -1, -1, 165, 165, 165, 165, -1, -1, -1, -1, 30, 15, 165, 150, 135, 90, 90, 90, 30, 15, -1, 150, 120, 90, 90, 60, 45, 30, -1, 135, 120, 105, 75, 60, 45, -1]
14,[-1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 90, 105, 90, 105, 90, 90, 90, 90, 90, 90, 90, 90, 90, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 90, 90, -1, 90, 105, 90, 90, 90, 90, 90, 90, 90, 165]
15,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 75, 90, 90, 90, 90, 90, 75, 135, 15, 90, 90, 90, 90, 90, 90, 120, 90, 75, 105, 90, 90, 105, 75, 90, 90, 90, 90, 90]
16,[75, 75, 105, 60, 90, 90, 60, 75, 90, 90, 105, 75, 75, 75, 75, 75, 90, 105, 105, 60, 90, 15, 150, 90, 90, 105, 90, 90, 90, 75, 105, 90, 90, 90, 90, 90, 90, 90, 90, 90, -1, -1, -1, -1, -1, -1, -1, 75, -1, -1, -1, -1, -1, -1, -1, 90, -1, -1, -1, -1, -1, -1, -1, -1]
17,[-1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 45, 90, 90, 90, 90, 90, 75, 105, 60, 90, 120, 105, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 120, -1, -1, -1, -1, -1]
